Title,Price (£),Rating (1-5),In Stock,URL,Cat_Academic,Cat_Add a comment,Cat_Adult Fiction,Cat_Art,Cat_Autobiography,Cat_Biography,Cat_Business,Cat_Childrens,Cat_Christian,Cat_Christian Fiction,Cat_Classics,Cat_Contemporary,Cat_Crime,Cat_Cultural,Cat_Default,Cat_Erotica,Cat_Fantasy,Cat_Fiction,Cat_Food and Drink,Cat_Health,Cat_Historical,Cat_Historical Fiction,Cat_History,Cat_Horror,Cat_Humor,Cat_Music,Cat_Mystery,Cat_New Adult,Cat_Nonfiction,Cat_Novels,Cat_Paranormal,Cat_Parenting,Cat_Philosophy,Cat_Poetry,Cat_Politics,Cat_Psychology,Cat_Religion,Cat_Romance,Cat_Science,Cat_Science Fiction,Cat_Self Help,Cat_Sequential Art,Cat_Short Stories,Cat_Spirituality,Cat_Sports and Games,Cat_Suspense,Cat_Thriller,Cat_Travel,Cat_Womens Fiction,Cat_Young Adult
"Starving Hearts (Triangular Trade Trilogy, #1)",-1.5240284859509563,-0.6435422434846575,True,http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shakespeare's Sonnets,-1.0397316267080936,0.7509154888764638,True,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Set Me Free,-1.2720779459850293,1.4481443550570243,True,http://books.toscrape.com/catalogue/set-me-free_988/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),0.05883081412316758,1.4481443550570243,True,http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rip it Up and Start Again,0.002922481047155231,1.4481443550570243,True,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",1.6170033177741174,0.05368662269590314,True,http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olio,-0.8059331429356773,-1.3407711096652182,True,http://books.toscrape.com/catalogue/olio_984/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesaerion: The Best Science Fiction Stories 1800-1849,0.1895256187164442,-1.3407711096652182,True,http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Libertarianism for Beginners,1.1871626271117863,-0.6435422434846575,True,http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
It's Only the Himalayas,0.7398959625036854,-0.6435422434846575,True,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
In Her Wake,0.05883081412316758,-1.3407711096652182,True,http://books.toscrape.com/catalogue/in-her-wake_980/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
How Music Works,0.05883081412316758,-0.6435422434846575,True,http://books.toscrape.com/catalogue/how-music-works_979/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",-0.3238145304360358,0.05368662269590314,True,http://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chase Me (Paris Nights #2),-0.7050077104997583,1.4481443550570243,True,http://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Black Dust,-0.03265554909212569,1.4481443550570243,True,http://books.toscrape.com/catalogue/black-dust_976/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Birdsong: A Story in Pictures,1.4274958511138667,0.05368662269590314,True,http://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,-0.9061324931238557,0.05368662269590314,True,http://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aladdin and His Wonderful Lamp,1.3178574317050629,0.05368662269590314,True,http://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,0.3862939078540986,1.4481443550570243,True,http://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wall and Piece,0.6680138199773833,0.7509154888764638,True,http://books.toscrape.com/catalogue/wall-and-piece_971/index.html,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Four Agreements: A Practical Guide to Personal Freedom,-1.2575563010302209,1.4481443550570243,True,http://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,-0.28533217130579325,0.05368662269590314,True,http://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Elephant Tree,-0.8102896364221197,1.4481443550570243,True,http://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Bear and the Piano,0.13869986137461432,-1.3407711096652182,True,http://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sophie's World,0.05883081412316758,1.4481443550570243,True,http://books.toscrape.com/catalogue/sophies-world_966/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penny Maybe,-0.1226897478119384,0.05368662269590314,True,http://books.toscrape.com/catalogue/penny-maybe_965/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maude (1883-1993):She Grew Up with the country,-1.2314173401115656,-0.6435422434846575,True,http://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"In a Dark, Dark Wood",-1.1145180982253575,-1.3407711096652182,True,http://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Behind Closed Doors,1.251783947160684,0.7509154888764638,True,http://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
You can't bury them all: Poems,-0.09800295138876373,-0.6435422434846575,True,http://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slow States of Collapse: Poems,1.62135981126056,0.05368662269590314,True,http://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reasons to Stay Alive,-0.62223433425735,-0.6435422434846575,True,http://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Private Paris (Private #10),0.9170600309523487,1.4481443550570243,True,http://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,-0.8618414760116899,1.4481443550570243,True,http://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Without Borders (Wanderlove #1),0.732635140026281,-0.6435422434846575,True,http://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
When We Collided,-0.2330542494684828,-1.3407711096652182,True,http://books.toscrape.com/catalogue/when-we-collided_955/index.html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"We Love You, Charlie Freeman",1.1101979088513017,1.4481443550570243,True,http://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Untitled Collection: Sabbath Poems 2014,-1.5036981830142246,0.7509154888764638,True,http://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",0.6680138199773833,0.7509154888764638,True,http://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unicorn Tracks,-1.1762350892832933,0.05368662269590314,True,http://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",-0.6868556543062477,-1.3407711096652182,True,http://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),-1.3577556512183993,-1.3407711096652182,True,http://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,-0.2802495955716102,0.05368662269590314,True,http://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This One Summer,-1.1246832496937234,0.7509154888764638,True,http://books.toscrape.com/catalogue/this-one-summer_947/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Thirst,-1.2858735086920974,1.4481443550570243,True,http://books.toscrape.com/catalogue/thirst_946/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Torch Is Passed: A Harding Family Story,-1.1537265396033403,-1.3407711096652182,True,http://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Secret of Dreadwillow Carse,1.5356821060271901,-1.3407711096652182,True,http://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",1.5560124089639216,-1.3407711096652182,True,http://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Past Never Ends,0.05883081412316758,0.7509154888764638,True,http://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Natural History of Us (The Fine Art of Pretending #2),0.7435263737423873,0.05368662269590314,True,http://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Nameless City (The Nameless City #1),0.23091230683764785,0.7509154888764638,True,http://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Murder That Never Was (Forensic Instincts #5),1.3890134919836241,0.05368662269590314,True,http://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,0.5794317857530517,0.7509154888764638,True,http://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",-0.8052070606879368,0.7509154888764638,True,http://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,-1.3221776210791187,0.05368662269590314,True,http://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",-1.0448142024422766,1.4481443550570243,True,http://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Gutsy Girl: Escapades for Your Life of Epic Adventure,0.15612583532038463,-1.3407711096652182,True,http://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Electric Pencil: Drawings from Inside State Hospital No. 3,1.530599530293007,-1.3407711096652182,True,http://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Death of Humanity: and the Case for Life,1.6794463910797937,0.7509154888764638,True,http://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",1.0216158746269695,0.05368662269590314,True,http://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
